Job Title,Company,Location,Salary,Requirements,Date Posted,Remote,Link
Principal Consultant -Data Science,Sampoorna Computer People,"Bengaluru, Karnataka",N/A,"Design, develop and deliver AI/machine learning enabled solutions for our industry specific data analytics platform.
Considerable knowledge on AWS Cloud.",20 days ago, - ,https://in.indeed.com/rc/clk?jk=b8db8ebb2a56cc5f&fccid=707471202c2c1a8c&vjs=3
Python Java data Science Senior Developer/lead,Luxoft,"Bengaluru, Karnataka",N/A,"The Bank was founded in 1853, is an international banking organisation, headquartered in London, with some 1,750 offices in more than 70 countries, with a world…",5 days ago, - ,https://in.indeed.com/rc/clk?jk=9429aeced0f9be6c&fccid=4b841d912d46e4fd&vjs=3
Computer Vision/Deep Learning Research Scientist,Approgence Inc.,"Bengaluru, Karnataka",N/A,"Job Title : Computer Vision/Deep Learning Research Scientist.
A world-class research lab that excels at novel product development through fundamental…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=7ca05c0fd16a2af3&fccid=cbea128a68578349&vjs=3
"Director of Product Management, AI Services (JoinOCI-PPM)",Oracle,"Bengaluru, Karnataka",N/A,"You will partner closely with our engineering, data science, research, UX, field & marketing to build products that customers need and love.",19 days ago, - ,https://in.indeed.com/rc/clk?jk=327ce417d46b0ab7&fccid=cd22d01053af7669&vjs=3
Sr Machine Learning Engr,IQVIA,"Bengaluru, Karnataka",N/A,"At IQVIA, we believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=b00d5b968f78cefe&fccid=6b7a1dfe07e7f037&vjs=3
Manager – Analytics Solutions,LitMass Analytics,"Bengaluru, Karnataka",N/A,"High proficiency in understanding data structures, data management and manipulation techniques, designing and developing algorithms.",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=bc1e9c7598fa0404&fccid=140d55770bd29766&vjs=3
Human Capital Management - Insights & Analytics - Senior Ana...,Goldman Sachs,"Bengaluru, Karnataka",N/A,"Familiarity with data visualization best practices.
Familiarity with HR processes and data landscape a plus.
Spot and clearly articulate data management issues…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=426ba65d471ae635&fccid=16a97ed26c75bf2d&vjs=3
CIEL/STF/14259: Azure Big Data Engineer - Chennai,CIEL HR Services,"Bengaluru, Karnataka",N/A,"Manage & mentor data engineers in the team towards the business objective of the data platform.
Maintain various data stores and distributed systems, and help…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=d95c39cdb428ae16&fccid=2b1e42f645eeaf1e&vjs=3
Principal AI/ML: Digital Innovation Prototyping Architect,AISPL - Karnataka,"Bengaluru, Karnataka",N/A,"Understanding of scalable computing systems, software architecture, data structures, and algorithms.
12+ years professional experience in commercial or webscale…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=956dc46f76a5b698&fccid=fe2d21eef233e94a&vjs=3
Senior Specialist- Supply Chain Analyst (Reporting & Analyti...,Merck KGaA,"Bengaluru, Karnataka",N/A,"The skills mix of this team is a blend of an exhaustive knowledge of supply chain concepts, data analysis, data science and diverse problem-solving capabilities…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=ae8debc204b9e295&fccid=68d0e0954a811351&vjs=3
Bigdata/Machine Learning,Diverse Lynx India,"Bengaluru, Karnataka",N/A,"The job Descriptions is Given Below:
Develop and optimize search recommendation of search engines or Search Ads to improve the effect of recommendation sorting.…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=0dc8f47ef93326d4&fccid=f6ce40c91e89f80b&vjs=3
AI Resident - Data Scientist,Shell,"Bengaluru, Karnataka",N/A,"Key to your success in this role, will be your analytical expertise, at finding and interpreting rich data sources, managing large amounts of data, merging data…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=4f4478064d93fc0b&fccid=167aa4ca2fe7d8e6&vjs=3
AIM-Digital Analytics - Principal Analyst (C11),Citi,"Bengaluru, Karnataka",N/A,"Applies professional judgment when interpreting data and results.
Applies analytical thinking and knowledge of data analysis tools and methodologies.",19 days ago, - ,https://in.indeed.com/rc/clk?jk=96c3f670e9dbed9e&fccid=5bcd1ef0a7f4fb99&vjs=3
Full Stack HPC (Deep Learning Engineer),Intel,"Bengaluru, Karnataka",N/A,"Knowledge of distributed deep learning and data/model parallelism.
You will be working on cutting edge problems in Deep Learning for Intel AI Accelerator SW…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=acf1d6c07cb30790&fccid=f1374be6a45f4b8a&vjs=3
Principal Java Developer - Computer Vision Focus- Cloud Engi...,Oracle,"Bengaluru, Karnataka",N/A,"Work closely with ML data scientists to code, deploy and launch ML models in production.
Our product vision also includes the ability for enterprises to…",5 days ago, - ,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bl7bBfPGWUAJEzSDM5yCfOPgEui_94LC4qxiOREPVQ-R1ZuJo4d3JHlzvsH3-dHw9mdxXlR2j-RHrmoJ9Hz3UpJP9v6Za9TmesOj_8VfEnpfqDoN_H-UOAveV_iR8x2wh_unr-r-NfSBxAQmAkJW6883dS1RA4VBbiwKhKtaKWSH49d95fsF-oFQISUZECLwS6WDWweCP9U9JnIjGMLs9LHE9fU2yYETYiTkLEaUB6ifZ9FeK5_agVhrDoZa6bHzkMmALB6THKCs7ES65AIK5CsjrQ8UwZ52x3SmFL1SR4yKqQKu0NmCUURQcPSEeoD9fi0fsnuK9qsnBQlmpdDLSQO1Y7V1i1RS1qvXJqQpj5NEhhzQ3xOf_kniQ6F8oeOW3cufhmgbFzNi6vvPwKenRfzpeC0roVsNIQOXC8iamCNqd4opfeJlTeT0WOOirosM5vNwJgarETu4qOuxlgwNEQYhW5EnNmP02O0uRU0yMZSlSZQaHrBgSNrVg_FXat-lMkkQhdGwuQ-Z8aHo1VOihLocYd7iLesjojstfWQCZsvPMkNn_brA1OtjlbTcxYCGosdZhZFUYKQNHQKEFCm7L_VaRSeUtIjHnlOwsq6bFpw5yUFnRbSdK-x-Luh145O4_GUXdxX-Xmv_MDUSacOZzhB0bFbONr160YvBC3HtTtnLesQRThK7OrD8Lq1ark8BiM5U3fsDNOQ6oyVWGn86gslVUWSNPPbI53WZDDPGzOsjXfKFUGLqWbYNeUFmFXu7lzhF09uR5C5daB4vjXKqR3K7XRY6Lh095GE5Jk4hqXYqGH0jjUyWPIZmSLY7geQRf0eoC5B0fr8sL0BEWC3NtEPdd7Y-wD4axr-RqWLM5D0WGwEFgwa7mVH_NEJB-V2G1ZAp6x3GQ-IqcA4UcpwCnTns_ElDrWoiyWSf02_TUHlONCCNMn5xOgZlQm9PgvwQ-PDM3UFWfU2ceNjSaz8ma2DnNiYjwT3_GK14CZYAbWI_emIjkU4pCdlnjs28jkMx9PebZBCeo9wpsnsKwPqjRdL6bzUyw8hmI7u08KV2GAXauIwV0g6OpgndyyVqPmfaCV3ayhILGPf3g49fCr4NKfvLjxjOO-P1AyOaaExrgtxHguVxg7QPywuu0VWyrGyRkvtFskySFx1fsZ9alSW8Kx-H6Mo6RYwhoiPlqRWhLqLyaFJEeFVAczDXuGhKTGNEKSH30pHKwayQ5FNfSvCbFDv6COKSsF9wRw-z2VaW12UPlKmnk3Y9PZym082T3wYuW1A1zYH6cniF27sIeihFW8-llrwFPZiBn2JgazTGzvJw==&p=11&fvj=0&vjs=3
Product Manager - Artifical Intelligence / Machine Learning,Ultria,"Bengaluru, Karnataka",N/A,"Ultria is looking out for an AI-first Product Manager / Associate Product manager with 3 - 7 years of IT software experience, with more than 1 year in managing…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=f3a007c3db4f9dde&fccid=5e0d81c918598d92&vjs=3
Lead/Principle Machine Learning Engineer & Researcher,Square Root Consulting,"Bengaluru, Karnataka",N/A,"Knowledgeable on common data structures and algorithms.
Perform exploratory data analysis to understand the problem.
What we expect from you :",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=6985ee906e80aca6&fccid=d24581208bd8623f&vjs=3
Machine Learning (ML) Lead,FRATITUDE Talent Advisors,"Kamakshipalya, Bengaluru, Karnataka",N/A,"Good statistics fundamentals and data analysis skills.
Strong understanding of modern data systems for storing and processing large volumes of data including…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=ad1e3dae0c1b408c&fccid=eaf87f83260744de&vjs=3
Senior Data Science & Analytics Platform Engineer,GSK,"Bengaluru, Karnataka",N/A,"You will be working on creating microservices, frameworks on top of Data & Analytics platform which will enable faster acquisition and ingestion of datasets,…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=b3326824bf3ebbfb&fccid=4e42ec53f4b93e02&vjs=3
"Princ Eng Software & Appl - Machine Learning (Python, R, Jav...",GLOBALFOUNDRIES,"Bengaluru, Karnataka",N/A,"Experience working with Big Data and strong knowledge of big data infrastructure.
Work with global DFM development and IT teams to support development and…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=ee0fa98498488428&fccid=6a2e5a5f89491e88&vjs=3
Senior Applied Scientist,ADCI - Karnataka,"Bengaluru, Karnataka",N/A,"Strong Computer Science fundamentals in data structures, algorithm design, and statistics.
As a Senior Applied Scientist, you will lead scientists and engineers…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=98170c483661236a&fccid=fe2d21eef233e94a&vjs=3
Specialized Analytics Analyst 2,Citi,"Bengaluru, Karnataka",N/A,"Responsible for documenting data requirements, data collection / processing / cleaning, and exploratory data analysis; which may include utilizing statistical…",27 days ago, - ,https://in.indeed.com/rc/clk?jk=f5d6ab7dae0f297d&fccid=5bcd1ef0a7f4fb99&vjs=3
"Sr Software Engineer, Machine Learning Systems",ADCI - Karnataka,"Bengaluru, Karnataka",N/A,"Together with a multi-disciplinary team of engineers, Applied scientists, and subject domain experts, you will help define our customer experience and protect…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=6da1c4f055e5d87a&fccid=fe2d21eef233e94a&vjs=3
Senior Manager - Data & Analytics,Talent500,"Bengaluru, Karnataka",N/A,"Building data lakes and data life-cycle management including managing data security.
This position focuses on delivering advanced data management & analytical…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=0f637bad790b1db2&fccid=ab12d312c1429d03&vjs=3
AI Technical Product Manager - OSS,Ericsson,"Bengaluru, Karnataka",N/A,"Detailed end-to-end AI solution requirements, including for data access and comprehension (in compliance with Regulatory and Contractual obligations).",11 days ago, - ,https://in.indeed.com/rc/clk?jk=d956a17e0804aa6c&fccid=82656d64a9a3e6a7&vjs=3
SAP S4 Technology Lead - AI/ML,Kimberly-Clark,"Bengaluru, Karnataka",N/A,"Experience in data science modeling, tool selection, design, and realization.
If you’re already excited about this challenge, you’ll also want to know that you…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=010ce72ee8304b26&fccid=d5e3dc20c284054b&vjs=3
Principal Java Developer - Computer Vision Focus- Cloud Engi...,Oracle,"Bengaluru, Karnataka",N/A,"Work closely with ML data scientists to code, deploy and launch ML models in production.
Our product vision also includes the ability for enterprises to…",5 days ago, - ,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bl7bBfPGWUAJEzSDM5yCfOPgEui_94LC4qxiOREPVQ-R1ZuJo4d3JHlzvsH3-dHw9mdxXlR2j-RHrmoJ9Hz3UpJP9v6Za9TmesOj_8VfEnpfqDoN_H-UOAveV_iR8x2wh_unr-r-NfSBxAQmAkJW6883dS1RA4VBbiwKhKtaKWSNVgIGag9GEYDJu4sN5wLgNubguMXboYVN1TKpYe3WLPTxRB2nuaUtWcAOp7Ux4wzbK3TuXsYONlmnSUcTdLyB6T0MAa5XxL2XJYPANCTdvBxyNqZP8oxY5lc04gXvBucLlLGTkyq0feIvo3-2e-V3l9kyd2RYgAVbGCBnPFuNFxOfEJ2358qeF9paiiD7vnli60k4Jy_bVepM2nqdxmyqr6ePKDN38hU9bu4ASOE2agzqs4QiiN3Zs2c_tT92NTmvQ0IfgG8iIfV_48NEpyYeDhXI90H5FyhMf9FluKJ5H6JkUZefKDoBbzqn_4z61KqhoGiuEE0gQ9vHK4N7qSMoqyuG4RNqkTBmbfAqA80OfokkE8sNAbC6IZFbJ2Ba_iQylXlvHPwCJMmYxm4Kk8yGj0HQUPmxDFsQGDvfhHnZF_NXAnQo08W8mR2IcwV4zUVYfF8ZSiB06gBAkmBJaKJpaZ9WzKAm6NYNRHrlW86u4NmRQuEmXIK8li2jlcBim134Nzv72TaqECnLovSAg7z6R5KEBd9i_UQngVcB2WHKZJqGLSAMRb4aVY9XhglYMEEbtkNt5t6rIPDELv54lSA9xbSvZjCXOMV3qquaHw7cIZOXolyFmveTlLqrfvLMGxb-3lxEJgwJPYG4WiSktEe86OeiKF-FGa77JjHoOY9aMWor98gIxCrcOeJkn8EQYUpXHCUPVRiXl2kq93CzOGKsCpw6gkv0ojSunpj8Er0K3fqPpiGVyd3a6K4Dw-v-rJGrKb3Lf5uO3dXz1OLMshraAhwLNyzdUnsFBZ7eQ4YDocTpMNALz6oWLfaGOThNNvOT70OFJvj5C7usx5e1r5XxcHY8KPYC2SIKs4GewMTNwEKmYRytvPcFueq-weNxgIl6dV5iU5h7x5cya28Q2J1JPycp7YQq8zni_461u0TxdL3hSUpxxsDJgE-cI9VB81YlsFldIXt3ZaAWyQg5lzPPXDCMMSiRUyJehD_t7kfpie-IArewTgtT3FJGz6fdtMKZTzNVyDirmTLSYoId8Xm6ViH_Cbwke-x7SvEpzX3fkRzDsPcW7n2zYDxHJVjtxyLB6a370YZR6pBOTvxhuSh5EYqAmwhAFQ6PfSq9uOml2djBCnoAwi7XdJN8xU2_VjxQ==&p=8&fvj=0&vjs=3
Machine Learning Engineer - Java/Scala/Spark,Oracle,"Bengaluru, Karnataka",N/A,"Work with fellow data scientists/SW engineers to build out other parts of the infrastructure, effectively communicating your needs and understanding theirs and…",25 days ago, - ,https://in.indeed.com/rc/clk?jk=5e5e159d714dec9f&fccid=cd22d01053af7669&vjs=3
Lead Machine Learning Engineer/Cloud Architect,Thoucentric,"Bengaluru, Karnataka",N/A,"In this role, you will engineer large scale development systems using full-stack web-based, distributed shallow and deep-learning technologies and big data…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=db63e735c72144db&fccid=deadcc7ca64ae08b&vjs=3
Analytics and Insights Practice Lead,Sampoorna Computer People,"Bengaluru, Karnataka",N/A,"Co-ordinate and leverage relationships with leading platform and product vendors in Big data ,Cloud DW, Analytics areas.
Analytics and Insights Practice Lead.",26 days ago, - ,https://in.indeed.com/rc/clk?jk=164c01eba3983a84&fccid=707471202c2c1a8c&vjs=3
Information Security Management - Vice President - Risk Trea...,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",N/A,"Ability to analyze data for data quality gaps.
Monitor internal and external data points that may affect the risk decision making.",16 days ago, - ,https://in.indeed.com/rc/clk?jk=1fee99784b4e6f5f&fccid=aaf3b433897ea465&vjs=3
"Senior Cyber Threat Analytics Engineer, India – CIS ICC",Nike,"Bengaluru, Karnataka",N/A,"Must be trustworthy in keeping sensitive data confidential.
At Nike, we are always on the offense, and we are looking for a talented and energetic self-starter…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=030dc33b3789fe10&fccid=2c62e4de04b8f952&vjs=3
Machine Learning development Engineer(81794),"Advanced Micro Devices, Inc.","Bengaluru, Karnataka",N/A,"We believe in changing the world for the better by driving innovation in high-performance computing, graphics, and visualization technologies – building blocks…",11 days ago, - ,https://in.indeed.com/rc/clk?jk=819a4abbe3663ade&fccid=b45c4b5a9c9a7448&vjs=3
