,wrapperType,kind,artistId,collectionId,trackId,artistName,collectionName,trackName,collectionCensoredName,trackCensoredName,artistViewUrl,collectionViewUrl,trackViewUrl,previewUrl,artworkUrl30,artworkUrl60,artworkUrl100,collectionPrice,trackPrice,releaseDate,collectionExplicitness,trackExplicitness,discCount,discNumber,trackCount,trackNumber,trackTimeMillis,country,currency,primaryGenreName,isStreamable,collectionArtistId,collectionArtistName
12,track,song,1062085272,1069486392,1069486403,Alan Walker,NCS: The Best of 2015,Spectre,NCS: The Best of 2015,Spectre,https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/spectre/1069486392?i=1069486403&uo=4,https://music.apple.com/us/album/spectre/1069486392?i=1069486403&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/Music69/v4/fe/19/d5/fe19d564-a61e-2aab-baf1-c736057ac525/mzaf_7665687787733865507.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music49/v4/19/85/9e/19859ea9-fb5d-4e65-20ed-0db1db2171f5/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music49/v4/19/85/9e/19859ea9-fb5d-4e65-20ed-0db1db2171f5/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music49/v4/19/85/9e/19859ea9-fb5d-4e65-20ed-0db1db2171f5/source/100x100bb.jpg,4.99,1.29,2015-01-06T12:00:00Z,notExplicit,notExplicit,1,1,17,6,230635,USA,USD,Dance,TRUE,36270,Various Artists
13,track,song,1062085272,1445140820,1445140992,Alan Walker & Julie Bergan,Different World,I Don't Wanna Go,Different World,I Don't Wanna Go,https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/i-dont-wanna-go/1445140820?i=1445140992&uo=4,https://music.apple.com/us/album/i-dont-wanna-go/1445140820?i=1445140992&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/e9/15/ed/e915edc3-a4a2-9c93-2c4c-8dff43ddc9a6/mzaf_756503257189461175.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/100x100bb.jpg,9.99,1.29,2018-12-14T12:00:00Z,notExplicit,notExplicit,1,1,14,3,161667,USA,USD,Dance,TRUE,,Alan Walker
14,track,song,1062085272,1196294554,1196294686,Alan Walker,Faded - EP,Faded,Faded - EP,Faded (Instrumental),https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/faded-instrumental/1196294554?i=1196294686&uo=4,https://music.apple.com/us/album/faded-instrumental/1196294554?i=1196294686&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview91/v4/44/6d/3b/446d3b4d-996d-7394-619f-70e753d5b46a/mzaf_9072686633176253593.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music122/v4/b8/ab/93/b8ab934a-810e-933a-135a-5901bfd94a73/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music122/v4/b8/ab/93/b8ab934a-810e-933a-135a-5901bfd94a73/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music122/v4/b8/ab/93/b8ab934a-810e-933a-135a-5901bfd94a73/source/100x100bb.jpg,3.99,1.29,2015-12-03T12:00:00Z,notExplicit,notExplicit,1,1,4,2,214013,USA,USD,Dance,TRUE,,
15,track,song,1062085272,1445140820,1445141142,"Alan Walker, K-391 & Sofia Carson",Different World,Different World (feat. CORSAK),Different World,Different World (feat. CORSAK),https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/different-world-feat-corsak/1445140820?i=1445141142&uo=4,https://music.apple.com/us/album/different-world-feat-corsak/1445140820?i=1445141142&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview118/v4/65/3f/78/653f78c7-5384-0c65-e4a3-10e309aa91fa/mzaf_4005723062774903215.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/100x100bb.jpg,9.99,1.29,2018-11-30T12:00:00Z,notExplicit,notExplicit,1,1,14,7,202907,USA,USD,Dance,TRUE,,Alan Walker
16,track,song,1062085272,1491026682,1491026687,Alan Walker & Ava Max,"Alone, Pt. II - Single","Alone, Pt. II","Alone, Pt. II - Single","Alone, Pt. II",https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/alone-pt-ii/1491026682?i=1491026687&uo=4,https://music.apple.com/us/album/alone-pt-ii/1491026682?i=1491026687&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview123/v4/5a/f7/a3/5af7a347-b466-b37b-edd9-99d01d656199/mzaf_13133437235955090526.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music113/v4/c4/7f/c9/c47fc98f-f178-3a04-a9bc-118f9a950d77/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music113/v4/c4/7f/c9/c47fc98f-f178-3a04-a9bc-118f9a950d77/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music113/v4/c4/7f/c9/c47fc98f-f178-3a04-a9bc-118f9a950d77/source/100x100bb.jpg,1.29,1.29,2019-12-27T12:00:00Z,notExplicit,notExplicit,1,1,1,1,179053,USA,USD,Dance,TRUE,,
17,track,song,1062085272,1445140820,1445141009,Alan Walker & Steve Aoki,Different World,Lonely (feat. Isak & Omar Noir),Different World,Lonely (feat. Isak & Omar Noir),https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/lonely-feat-isak-omar-noir/1445140820?i=1445141009&uo=4,https://music.apple.com/us/album/lonely-feat-isak-omar-noir/1445140820?i=1445141009&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/5e/6b/c6/5e6bc68f-88c1-d826-d764-0ec5dc9185cb/mzaf_5154561378705459005.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/100x100bb.jpg,9.99,1.29,2018-12-14T12:00:00Z,notExplicit,notExplicit,1,1,14,5,216053,USA,USD,Dance,TRUE,,Alan Walker
18,track,song,1062085272,1020164722,1020165447,Alan Walker,NCS: Infinity,Force,NCS: Infinity,Force,https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/force/1020164722?i=1020165447&uo=4,https://music.apple.com/us/album/force/1020164722?i=1020165447&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/Music7/v4/ed/62/ef/ed62efee-f73f-9a09-b726-31f0eff8cb2a/mzaf_8179318858131807394.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music5/v4/74/22/78/742278fa-55ec-940e-496a-d6768cfe71b6/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music5/v4/74/22/78/742278fa-55ec-940e-496a-d6768cfe71b6/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music5/v4/74/22/78/742278fa-55ec-940e-496a-d6768cfe71b6/source/100x100bb.jpg,4.99,1.29,2015-04-02T12:00:00Z,notExplicit,notExplicit,1,1,16,8,240006,USA,USD,Dance,TRUE,4035426,Various Artists
19,track,song,1062085272,1445140820,1445141159,"Alan Walker, Noah Cyrus & Digital Farm Animals",Different World,All Falls Down (feat. Juliander),Different World,All Falls Down (feat. Juliander),https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/all-falls-down-feat-juliander/1445140820?i=1445141159&uo=4,https://music.apple.com/us/album/all-falls-down-feat-juliander/1445140820?i=1445141159&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/b2/5a/ea/b25aeabc-6687-fce0-3731-7355f7ade628/mzaf_4222421749010892316.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/100x100bb.jpg,9.99,1.29,2017-10-27T12:00:00Z,notExplicit,notExplicit,1,1,14,10,198880,USA,USD,Dance,TRUE,,Alan Walker
20,track,song,1062085272,1445140820,1445141316,Alan Walker,Different World,Faded,Different World,Faded,https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/faded/1445140820?i=1445141316&uo=4,https://music.apple.com/us/album/faded/1445140820?i=1445141316&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview118/v4/26/30/a2/2630a249-042b-b3f0-d200-fe50b7702e54/mzaf_5760450269864104766.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/100x100bb.jpg,9.99,1.29,2015-12-03T12:00:00Z,notExplicit,notExplicit,1,1,14,15,212107,USA,USD,Dance,TRUE,,
21,track,song,1062085272,1235474539,1235474551,Alan Walker,Tired (feat. Gavin James) - Single,Tired (feat. Gavin James),Tired (feat. Gavin James) - Single,Tired (feat. Gavin James),https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/tired-feat-gavin-james/1235474539?i=1235474551&uo=4,https://music.apple.com/us/album/tired-feat-gavin-james/1235474539?i=1235474551&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview127/v4/87/7a/05/877a0556-e172-559e-d7b1-eea3ff6789c2/mzaf_5297987780481174127.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music127/v4/d8/3c/2f/d83c2f6b-8cdb-67bb-0762-3d0aafe47c82/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music127/v4/d8/3c/2f/d83c2f6b-8cdb-67bb-0762-3d0aafe47c82/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music127/v4/d8/3c/2f/d83c2f6b-8cdb-67bb-0762-3d0aafe47c82/source/100x100bb.jpg,1.29,1.29,2017-05-19T12:00:00Z,notExplicit,notExplicit,1,1,1,1,192112,USA,USD,Dance,TRUE,,
