Product name,Description,Colours,Price,Sale Price,Discount,Product Link
Nike Air Max 270 SE,Men's Shoe,2 Colours,"₹13,995","₹8,397",40%,https://www.nike.com/in/t/air-max-270-se-shoe-rk40N4/CD6615-400
Nike Air Max 270 React SE,Men's Shoe,1 Colour,"₹13,995","₹9,797",30%,https://www.nike.com/in/t/air-max-270-react-se-shoe-tsRhSL/CT1265-300
Nike Air VaporMax Flyknit 3,Men's Shoe,2 Colours,"₹16,995","₹13,597",20%,https://www.nike.com/in/t/air-vapormax-flyknit-3-shoe-bLz28S/CT1270-002
Nike Sportswear NSW,Women's Jacket,1 Colour,"₹5,995","₹4,797",20%,https://www.nike.com/in/t/sportswear-nsw-jacket-G6QfJS/CV9032-010
Nike Air Max 270 Extreme,Older Kids' Shoe,2 Colours,"₹9,995","₹7,997",20%,https://www.nike.com/in/t/air-max-270-extreme-older-shoe-RC0bDl/CI1108-500
Nike Air,Women's Mock Tank,1 Colour,"₹2,195","₹1,757",20%,https://www.nike.com/in/t/air-mock-tank-tFhxnK/CJ3783-500
Nike Sportswear Varsity,Women's Short-Sleeve Top,1 Colour,"₹2,795","₹1,677",40%,https://www.nike.com/in/t/sportswear-varsity-short-sleeve-top-NZsgxx/CK1302-487
Nike Air Max Triax 96,Men's Shoe,2 Colours,"₹10,995","₹5,497",50%,https://www.nike.com/in/t/air-max-triax-96-shoe-LbzNBF/CD2053-106
Nike Air Max 200,Women's Shoe,1 Colour,"₹9,995","₹5,997",40%,https://www.nike.com/in/t/air-max-200-shoe-s3wL1Q/AT6175-100
PG 4 EP,Basketball Shoe,3 Colours,"₹8,995","₹7,197",20%,https://www.nike.com/in/t/pg-4-ep-basketball-shoe-4WnQdd/CD5082-003
Nike Joyride Dual Run,Women's Running Shoe,1 Colour,"₹10,995","₹8,797",20%,https://www.nike.com/in/t/joyride-dual-run-running-shoe-C3x99d/CD4363-001
Nike Odyssey React Flyknit 2,Women's Running Shoe,2 Colours,"₹9,995","₹7,997",20%,https://www.nike.com/in/t/odyssey-react-flyknit-2-running-shoe-78xGg4/AH1016-500
Nike Sportswear,Women's Woven Printed Jacket,1 Colour,"₹4,995","₹2,997",40%,https://www.nike.com/in/t/sportswear-woven-printed-jacket-7rcV7t/CJ3720-010
Nike Air Max 720 OBJ Slip,Men's Shoe,2 Colours,"₹16,995","₹13,597",20%,https://www.nike.com/in/t/air-max-720-obj-slip-shoe-3ZdbfC/DA4155-100
