Stay Name,Stay Type,Stay Size,Amenities,Price,Rating,num of reviews,link
Vinayaka Vilas 1 Bhk,Entire flat in Bengaluru,2 guests - Studio - 1 bed - 1 bathroom,Wifi - Lift - Breakfast - Air conditioning,Rs.920,5.0,3,https://www.airbnb.co.in/rooms/43934714?previous_page_section_name=1000&federated_search_id=d0e71663-d38c-41df-9632-1bcfea7287b2
Clover - Kitkat,Entire loft in Bengaluru,2 guests - Studio - 1 bed - 1 bathroom,Wifi - Self check-in - Air conditioning,Rs.800,4.47,66,https://www.airbnb.co.in/rooms/16222938?previous_page_section_name=1000&federated_search_id=d0e71663-d38c-41df-9632-1bcfea7287b2
"💞Your Space💕Pvt 2 Bhk
Cpl Friendly💯
Full Flat",Entire flat in Bengaluru,4 guests - 2 bedrooms - 2 beds - 2.5 bathrooms,Wifi - Washing machine - Self check-in - Pets allowed,"Rs.1,100",4.88,8,https://www.airbnb.co.in/rooms/45527518?previous_page_section_name=1000&federated_search_id=d0e71663-d38c-41df-9632-1bcfea7287b2
DBrooks Suites - Entire Boutique 1BHK with Kitchen,Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Washing machine - Lift - Dryer,"Rs.1,200",4.71,14,https://www.airbnb.co.in/rooms/39789018?previous_page_section_name=1000&federated_search_id=d0e71663-d38c-41df-9632-1bcfea7287b2
Boutique Room in a beautiful villa Koramangala,Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Wifi - Washing machine - Self check-in - Dryer,"Rs.1,100",5.0,9,https://www.airbnb.co.in/rooms/35704921?previous_page_section_name=1000&federated_search_id=d0e71663-d38c-41df-9632-1bcfea7287b2
"Maison de ZEN 4, For Serenity, Bliss & Relaxation",Entire flat in Bengaluru,4 guests - 2 bedrooms - 2 beds - 2 bathrooms,Wifi - Washing machine - Self check-in - Dryer,"Rs.1,200",4.82,17,https://www.airbnb.co.in/rooms/40337180?previous_page_section_name=1000&federated_search_id=d0e71663-d38c-41df-9632-1bcfea7287b2
Swiss Town ‘’Close to MG Road’’ LIVE BY NATURE,Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Wifi - Washing machine - Self check-in - Dryer,Rs.775,4.79,42,https://www.airbnb.co.in/rooms/24337247?previous_page_section_name=1000&federated_search_id=d0e71663-d38c-41df-9632-1bcfea7287b2
BPP Bengaluru- AC 6 Bed Mixed Dorm,Hotel room in Bengaluru,6 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Washing machine - Self check-in - Air conditioning,Rs.749,4.71,7,https://www.airbnb.co.in/rooms/20943486?previous_page_section_name=1000&federated_search_id=d0e71663-d38c-41df-9632-1bcfea7287b2
Cuckoo Hostel,Hotel room in Bengaluru,1 guest - 1 bedroom - 1 bed - 1 bathroom,Wifi - Washing machine - Self check-in - Dryer,Rs.900,5.0,5,https://www.airbnb.co.in/rooms/38480988?previous_page_section_name=1000&federated_search_id=d0e71663-d38c-41df-9632-1bcfea7287b2
⚡LITTLE KOREA | LUXURY STAY | BEST LOCATION,Entire flat in Bengaluru,2 guests - 1 bedroom - 2 beds - 1 bathroom,Wifi - Washing machine - Lift - Self check-in,"Rs.1,070",4.13,46,https://www.airbnb.co.in/rooms/31907159?previous_page_section_name=1000&federated_search_id=d0e71663-d38c-41df-9632-1bcfea7287b2
Beautiful Room In A Boutique Villa In Koramangala,Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Wifi - Washing machine - Self check-in - Air conditioning,Rs.863,4.80,44,https://www.airbnb.co.in/rooms/36358446?previous_page_section_name=1000&federated_search_id=d0e71663-d38c-41df-9632-1bcfea7287b2
Apartment bathed in Sunshine 5 - TLBW Group,Entire apartment in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Kitchen - Free parking,Rs.998,4.56,42,https://www.airbnb.co.in/rooms/31395591?previous_page_section_name=1000&federated_search_id=d0e71663-d38c-41df-9632-1bcfea7287b2
"💞Your Space💕Pvt 2 Bhk
Cpl Friendly💯
Full Flat",Entire flat in Bengaluru,4 guests - 2 bedrooms - 2 beds - 2.5 bathrooms,Wifi - Kitchen - Free parking - Pets allowed,"Rs.1,100",4.88,8,https://www.airbnb.co.in/rooms/45527518?previous_page_section_name=1000&federated_search_id=aca96c9d-1f18-46c8-8ccb-36770b9c7ae5
Clover - Abaco,Entire flat in Bengaluru,2 guests - Studio - 1 bed - 1 bathroom,Wifi - Air conditioning - Kitchen - Self check-in,"Rs.1,310",4.36,39,https://www.airbnb.co.in/rooms/15850031?previous_page_section_name=1000&federated_search_id=aca96c9d-1f18-46c8-8ccb-36770b9c7ae5
Premium Room with access to kitchen,Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 shared bathroom,Wifi - Air conditioning - Kitchen - Free parking,Rs.815,4.80,10,https://www.airbnb.co.in/rooms/38170192?previous_page_section_name=1000&federated_search_id=aca96c9d-1f18-46c8-8ccb-36770b9c7ae5
Urban Kuteer - Pvt Suite in the heart of South BLR,Entire guest suite in Bengaluru,3 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Air conditioning - Free parking,"Rs.1,600",5.0,8,https://www.airbnb.co.in/rooms/45551704?previous_page_section_name=1000&federated_search_id=aca96c9d-1f18-46c8-8ccb-36770b9c7ae5
Hello World | Bangalore,Private room in Bengaluru,2 guests - 1 bedroom - 2 beds - 1 private bathroom,Wifi - Washing machine - Dryer,Rs.740,4.0,5,https://www.airbnb.co.in/rooms/41065868?previous_page_section_name=1000&federated_search_id=aca96c9d-1f18-46c8-8ccb-36770b9c7ae5
Trekker's Paradise - Nanda Devi,Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Wifi - Kitchen - Free parking - Pets allowed,Rs.750,4.74,53,https://www.airbnb.co.in/rooms/22317898?previous_page_section_name=1000&federated_search_id=aca96c9d-1f18-46c8-8ccb-36770b9c7ae5
Lovely room with a resort feel in city,Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1.5 bathrooms,Wifi - Air conditioning - Kitchen - Free parking,"Rs.1,500",5.0,15,https://www.airbnb.co.in/rooms/22630416?previous_page_section_name=1000&federated_search_id=aca96c9d-1f18-46c8-8ccb-36770b9c7ae5
Apartment bathed in Sunshine 4 - TLBW Group,Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Kitchen - Free parking,Rs.993,4.65,20,https://www.airbnb.co.in/rooms/37614752?previous_page_section_name=1000&federated_search_id=aca96c9d-1f18-46c8-8ccb-36770b9c7ae5
Private  Boutique Room With Balcony Koramangala,Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 shared bathroom,Wifi - Air conditioning - Kitchen - Free parking,"Rs.1,247",4.40,10,https://www.airbnb.co.in/rooms/36375728?previous_page_section_name=1000&federated_search_id=aca96c9d-1f18-46c8-8ccb-36770b9c7ae5
♥️  COUPLE FRIENDLY LITTLE TURKEY,Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Gym - Lift - Washing machine,"Rs.1,013",4.41,56,https://www.airbnb.co.in/rooms/35132377?previous_page_section_name=1000&federated_search_id=aca96c9d-1f18-46c8-8ccb-36770b9c7ae5
"Couple Friendly, Comfortable and Affordable Stay",Private room in Bengaluru,2 guests - Studio - 0 beds - 2.5 shared bathrooms,Wifi - Air conditioning - Kitchen - Free parking,Rs.899,4.38,8,https://www.airbnb.co.in/rooms/42592224?previous_page_section_name=1000&federated_search_id=aca96c9d-1f18-46c8-8ccb-36770b9c7ae5
"Gaurav’s plant filled,cozy, safe and sanitised den",Private room in Bengaluru,1 guest - 1 bedroom - 1 bed - 1.5 shared bathrooms,Wifi - Free parking - Lift - Washing machine,Rs.800,5.0,3,https://www.airbnb.co.in/rooms/45298619?previous_page_section_name=1000&federated_search_id=aca96c9d-1f18-46c8-8ccb-36770b9c7ae5
⚡COUPLE FRIENDLY MACHU PICCHU | FULLY STOCKED ⭐,Private room in Bengaluru,2 guests - 1 bedroom - 2 beds - 1 private bathroom,Wifi - Gym - Lift - Washing machine,Rs.928,4.34,47,https://www.airbnb.co.in/rooms/31916911?previous_page_section_name=1000&federated_search_id=aca96c9d-1f18-46c8-8ccb-36770b9c7ae5
Deluxe Room with South Indian Breakfast,Private room in Bengaluru,2 guests - 1 bedroom - 0 beds - 1 shared bathroom,Wifi - Free parking,Rs.850,4.56,78,https://www.airbnb.co.in/rooms/23498913?previous_page_section_name=1000&federated_search_id=aca96c9d-1f18-46c8-8ccb-36770b9c7ae5
Clover - Froyo,Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Air conditioning - Kitchen - Self check-in,"Rs.1,250",4.70,53,https://www.airbnb.co.in/rooms/10580198?previous_page_section_name=1000&federated_search_id=aca96c9d-1f18-46c8-8ccb-36770b9c7ae5
Urban Kuteer Premium - Luxury Suite in South BLR,Entire guest suite in Bengaluru,3 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Air conditioning - Hot tub - Free parking,"Rs.1,799",5.0,9,https://www.airbnb.co.in/rooms/45979140?previous_page_section_name=1000&federated_search_id=a6921ba4-5ae3-490a-adbb-55963f3924ad
Deluxe Room with South Indian Breakfast,Private room in Bengaluru,2 guests - 1 bedroom - 0 beds - 1 shared bathroom,Wifi - Free parking,Rs.850,4.56,78,https://www.airbnb.co.in/rooms/23498913?previous_page_section_name=1000&federated_search_id=a6921ba4-5ae3-490a-adbb-55963f3924ad
