Stay Name,Stay Type,Stay Size,Amenities,Price,Rating,num of reviews,link
1bedroom 1small living -couple friendly flat,Entire villa in Bengaluru,5 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Kitchen - Free parking,Rs.899,4.63,8,https://www.airbnb.co.in/rooms/36638238?previous_page_section_name=1000&federated_search_id=829a2ab4-06a8-4d75-9167-7043ed4ee349
JINI Space- Single private room with attached bath,Entire house in Bengaluru,1 guest - Studio - 2 beds - 1.5 bathrooms,Wifi - Air conditioning - Free parking - Washing machine,Rs.734,4.94,48,https://www.airbnb.co.in/rooms/23735221?previous_page_section_name=1000&federated_search_id=829a2ab4-06a8-4d75-9167-7043ed4ee349
Grace's Inn,Private room in Bengaluru,2 guests - 1 bedroom - 2 beds - 1 private bathroom,Wifi - Free parking - Pets allowed - Washing machine,Rs.750,4.80,61,https://www.airbnb.co.in/rooms/27640066?previous_page_section_name=1000&federated_search_id=829a2ab4-06a8-4d75-9167-7043ed4ee349
"Peepal tree view close to IISc, Ramaiah, WTC",Entire flat in Bengaluru,3 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Kitchen,"Rs.1,400",4.93,27,https://www.airbnb.co.in/rooms/34261277?previous_page_section_name=1000&federated_search_id=829a2ab4-06a8-4d75-9167-7043ed4ee349
Boutique Distraction-free Space,Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Gym - Lift - Washing machine,Rs.999,4.0,32,https://www.airbnb.co.in/rooms/31916640?previous_page_section_name=1000&federated_search_id=829a2ab4-06a8-4d75-9167-7043ed4ee349
Monthly stay in HSR @15k,Private room in Bengaluru,1 guest - 1 bedroom - 1 bed - 1 shared bathroom,Wifi - Kitchen - Free parking - Pets allowed,Rs.780,5.0,5,https://www.airbnb.co.in/rooms/42159427?previous_page_section_name=1000&federated_search_id=829a2ab4-06a8-4d75-9167-7043ed4ee349
Premium AC room w/ kitchen access,Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 shared bathroom,Wifi - Air conditioning - Kitchen - Free parking,Rs.837,4.67,3,https://www.airbnb.co.in/rooms/37993071?previous_page_section_name=1000&federated_search_id=829a2ab4-06a8-4d75-9167-7043ed4ee349
The Bumblebees Nest,Entire house in Bengaluru,4 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Air conditioning - Kitchen - Free parking,"Rs.1,250",4.50,15,https://www.airbnb.co.in/rooms/37118108?previous_page_section_name=1000&federated_search_id=829a2ab4-06a8-4d75-9167-7043ed4ee349
Studio Room Near Kempegowda International Airport,Entire flat in Chikkajala,3 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Air conditioning - Kitchen - Free parking,"Rs.2,071",4.60,15,https://www.airbnb.co.in/rooms/43763117?previous_page_section_name=1000&federated_search_id=829a2ab4-06a8-4d75-9167-7043ed4ee349
Chaithanya Nilaya,Entire apartment in Bengaluru,2 guests - 2 bedrooms - 2 beds - 2 bathrooms,Wifi - Washing machine - Dryer - Kitchen,"Rs.1,250",4.93,27,https://www.airbnb.co.in/rooms/29793542?previous_page_section_name=1000&federated_search_id=f6b31868-d3bb-45d0-867c-e1482d457c0b
Anns Studios,Entire flat in Bangalore,2 guests - 1 bedroom - 4 beds - 1.5 bathrooms,Wifi - Washing machine - Lift - Self check-in,Rs.750,4.20,15,https://www.airbnb.co.in/rooms/29313177?previous_page_section_name=1000&federated_search_id=f6b31868-d3bb-45d0-867c-e1482d457c0b
"Gaurav’s plant filled,cozy, safe and sanitised den",Private room in Bengaluru,1 guest - 1 bedroom - 1 bed - 1.5 shared bathrooms,Wifi - Washing machine - Lift - Free parking,Rs.800,5.0,3,https://www.airbnb.co.in/rooms/45298619?previous_page_section_name=1000&federated_search_id=f6b31868-d3bb-45d0-867c-e1482d457c0b
COUPLE FRIENDLY FRENCH QUARTER-SAFE AND SANITIZED,Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Washing machine - Lift - Self check-in,"Rs.1,099",4.37,60,https://www.airbnb.co.in/rooms/31907149?previous_page_section_name=1000&federated_search_id=f6b31868-d3bb-45d0-867c-e1482d457c0b
Clover - Marshmello,Entire flat in Bengaluru,2 guests - Studio - 1 bed - 1 bathroom,Wifi - Self check-in - Air conditioning - Kitchen,"Rs.1,380",4.74,31,https://www.airbnb.co.in/rooms/16222841?previous_page_section_name=1000&federated_search_id=f6b31868-d3bb-45d0-867c-e1482d457c0b
Nani's House: Where dream retreats are made,Entire flat in Bengaluru,4 guests - 2 bedrooms - 2 beds - 3 bathrooms,Washing machine - Lift - Air conditioning - Kitchen,"Rs.3,099",5.0,21,https://www.airbnb.co.in/rooms/34317079?previous_page_section_name=1000&federated_search_id=f6b31868-d3bb-45d0-867c-e1482d457c0b
Stay a minute away from MG Road!,Room in serviced apartment in Bengaluru,2 guests - 1 bedroom - 1 bed - 1.5 bathrooms,Wifi - Washing machine - Lift - Self check-in,"Rs.1,550",4.79,14,https://www.airbnb.co.in/rooms/21855924?previous_page_section_name=1000&federated_search_id=f6b31868-d3bb-45d0-867c-e1482d457c0b
Spacious Bedroom with private bath,Private room in Bengaluru,1 guest - 1 bedroom - 1 bed - 1 private bathroom,Wifi - Kitchen - Free parking,Rs.900,4.25,4,https://www.airbnb.co.in/rooms/14083255?previous_page_section_name=1000&federated_search_id=f6b31868-d3bb-45d0-867c-e1482d457c0b
⚡YOLO HOME IN THE HEART OF THE CITY- with AC,Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Washing machine - Self check-in - Dryer,"Rs.1,707",4.75,155,https://www.airbnb.co.in/rooms/19043918?previous_page_section_name=1000&federated_search_id=f6b31868-d3bb-45d0-867c-e1482d457c0b
"Modern, Artistic Studio Space",Entire house in Bengaluru,1 guest - Studio - 1 bed - 1 bathroom,Wifi,"Rs.1,049",5.0,6,https://www.airbnb.co.in/rooms/39538664?previous_page_section_name=1000&federated_search_id=f6b31868-d3bb-45d0-867c-e1482d457c0b
JINI Space- Single private room with attached bath,Entire house in Bengaluru,1 guest - Studio - 2 beds - 1.5 bathrooms,Wifi - Washing machine - Dryer - Air conditioning,Rs.734,4.94,48,https://www.airbnb.co.in/rooms/23735221?previous_page_section_name=1000&federated_search_id=f6b31868-d3bb-45d0-867c-e1482d457c0b
"Entire Cozy Flat with Kitchen,1km away from forum",Entire flat in Bengaluru,3 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Washing machine - Lift - Self check-in,"Rs.1,350",4.33,6,https://www.airbnb.co.in/rooms/40967508?previous_page_section_name=1000&federated_search_id=f6b31868-d3bb-45d0-867c-e1482d457c0b
Clover - CandyBlast,Entire loft in Bengaluru,2 guests - Studio - 1 bed - 1 bathroom,Wifi - Self check-in - Kitchen,Rs.740,4.65,34,https://www.airbnb.co.in/rooms/15850216?previous_page_section_name=1000&federated_search_id=f6b31868-d3bb-45d0-867c-e1482d457c0b
"Entire 1 BHK , Couple Friendly,BTM 1st stage",Entire flat in Bengaluru,3 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Washing machine - Self check-in - Dryer,"Rs.1,214",4.45,11,https://www.airbnb.co.in/rooms/41853563?previous_page_section_name=1000&federated_search_id=f6b31868-d3bb-45d0-867c-e1482d457c0b
Meditative and peaceful space in West Bangalore,Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Washing machine - Self check-in,Rs.900,4.92,25,https://www.airbnb.co.in/rooms/28473571?previous_page_section_name=1000&federated_search_id=f6b31868-d3bb-45d0-867c-e1482d457c0b
"Cozy, spacious Penthouse",Entire flat in Bengaluru,2 guests - 1 bedroom - 2 beds - 1.5 bathrooms,Wifi - Pets allowed - Kitchen,"Rs.1,283",4.92,12,https://www.airbnb.co.in/rooms/24786998?previous_page_section_name=1000&federated_search_id=f6b31868-d3bb-45d0-867c-e1482d457c0b
Urban Kuteer Premium - Luxury Suite in South BLR,Entire guest suite in Bengaluru,3 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Free parking,"Rs.1,799",5.0,9,https://www.airbnb.co.in/rooms/45979140?previous_page_section_name=1000&federated_search_id=f12727fc-10e0-4939-be2d-0ff4f96047dd
Nature's  Nest,Private room in Bengaluru,1 guest - 1 bedroom - 1 bed - 1 private bathroom,Wifi - Self check-in,Rs.850,4.83,23,https://www.airbnb.co.in/rooms/25493982?previous_page_section_name=1000&federated_search_id=f12727fc-10e0-4939-be2d-0ff4f96047dd
The Nest Koramangala: Premium studio suite,Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Kitchen - Wifi,"Rs.1,200",4.69,42,https://www.airbnb.co.in/rooms/22620200?previous_page_section_name=1000&federated_search_id=f12727fc-10e0-4939-be2d-0ff4f96047dd
Private Room with balcony 100 mts from Indiranagar,Hotel room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Free parking,"Rs.1,450",4.91,11,https://www.airbnb.co.in/rooms/35026738?previous_page_section_name=1000&federated_search_id=f12727fc-10e0-4939-be2d-0ff4f96047dd
Meditative and peaceful space in West Bangalore,Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Self check-in,Rs.900,4.92,25,https://www.airbnb.co.in/rooms/28473571?previous_page_section_name=1000&federated_search_id=f12727fc-10e0-4939-be2d-0ff4f96047dd
Locul.Uptown - Sanitized and clean Private Room,Room in aparthotel in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Kitchen - Wifi - Self check-in,Rs.899,4.33,3,https://www.airbnb.co.in/rooms/24175533?previous_page_section_name=1000&federated_search_id=f12727fc-10e0-4939-be2d-0ff4f96047dd
Clover - Froyo,Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Kitchen - Wifi - Self check-in,"Rs.1,250",4.70,53,https://www.airbnb.co.in/rooms/10580198?previous_page_section_name=1000&federated_search_id=f12727fc-10e0-4939-be2d-0ff4f96047dd
Single Room for Solo traveler - Independant house,Private room in Bengaluru,1 guest - 1 bedroom - 1 bed - 1 private bathroom,Kitchen - Wifi - Free parking,Rs.740,4.54,38,https://www.airbnb.co.in/rooms/20507763?previous_page_section_name=1000&federated_search_id=f12727fc-10e0-4939-be2d-0ff4f96047dd
BACKPACK DIGS: Shared space in 1 BHK Koramangala,Private room in Bengaluru,1 guest - 1 bedroom - 1 bed - 1.5 shared bathrooms,Kitchen - Wifi,Rs.805,4.57,43,https://www.airbnb.co.in/rooms/14823204?previous_page_section_name=1000&federated_search_id=f12727fc-10e0-4939-be2d-0ff4f96047dd
Spacious 2BHK-MGRoad-AC-Tranquil-Vybhav-GardenView,Entire serviced apartment in Bengaluru,5 guests - 2 bedrooms - 2 beds - 2 bathrooms,Kitchen - Wifi - Self check-in - Free parking,"Rs.1,797",5.0,4,https://www.airbnb.co.in/rooms/45449476?previous_page_section_name=1000&federated_search_id=f12727fc-10e0-4939-be2d-0ff4f96047dd
Nice house in West Bangalore with free parking,Entire house in Bengaluru,3 guests - 1 bedroom - 1 bed - 2.5 bathrooms,Kitchen - Wifi - Self check-in - Free parking,Rs.990,4.59,34,https://www.airbnb.co.in/rooms/18918953?previous_page_section_name=1000&federated_search_id=f12727fc-10e0-4939-be2d-0ff4f96047dd
♥️COUPLE FRIENDLY LITTLE MEXICO| 40% OFF ⚡,Entire flat in Bengaluru,2 guests - 1 bedroom - 3 beds - 1.5 bathrooms,Wifi - Self check-in,"Rs.1,013",4.24,34,https://www.airbnb.co.in/rooms/32748426?previous_page_section_name=1000&federated_search_id=f12727fc-10e0-4939-be2d-0ff4f96047dd
⚡COUPLE FRIENDLY LITTLE JAPAN,Entire flat in Bengaluru,2 guests - 1 bedroom - 2 beds - 1 bathroom,Wifi - Self check-in,Rs.999,4.38,48,https://www.airbnb.co.in/rooms/31918552?previous_page_section_name=1000&federated_search_id=f12727fc-10e0-4939-be2d-0ff4f96047dd
AIR CONDITIONED SIMPLE 1BHK PENTHOUSE WITH KITCHEN,Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Kitchen - Wifi - Self check-in - Free parking,"Rs.1,199",4.08,27,https://www.airbnb.co.in/rooms/10181457?previous_page_section_name=1000&federated_search_id=f12727fc-10e0-4939-be2d-0ff4f96047dd
Comfort Living close to IIM Bengaluru.,"Private room in Arekere, Bengaluru,",2 guests - 1 bedroom - 1 bed - 1 private bathroom,Wifi - Washing machine - Kitchen,Rs.740,4.43,14,https://www.airbnb.co.in/rooms/20398247?previous_page_section_name=1000&federated_search_id=43d041e5-dfb9-4a12-9956-150f430c51d9
Stay a minute away from MG Road!,Room in serviced apartment in Bengaluru,2 guests - 1 bedroom - 1 bed - 1.5 bathrooms,Wifi - Washing machine - Lift - Self check-in,"Rs.1,550",4.79,14,https://www.airbnb.co.in/rooms/21855924?previous_page_section_name=1000&federated_search_id=43d041e5-dfb9-4a12-9956-150f430c51d9
One Bedroom Studio,Entire serviced apartment in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Washing machine - Breakfast - Air conditioning,"Rs.1,971",4.70,10,https://www.airbnb.co.in/rooms/43885894?previous_page_section_name=1000&federated_search_id=43d041e5-dfb9-4a12-9956-150f430c51d9
Sun' Abode: Private Space in Indiranagar for RENT,Shared room in Bengaluru,1 guest - 1 bedroom - 1 bed - 1 shared bathroom,Wifi - Washing machine - Lift - Dryer,Rs.695,4.58,101,https://www.airbnb.co.in/rooms/16392310?previous_page_section_name=1000&federated_search_id=43d041e5-dfb9-4a12-9956-150f430c51d9
Spacious 1BHK- WiFi -Tranquil Serviced Apartments,Entire serviced apartment in Bengaluru,3 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Lift - Kitchen - Free parking,"Rs.1,173",4.77,22,https://www.airbnb.co.in/rooms/27141720?previous_page_section_name=1000&federated_search_id=43d041e5-dfb9-4a12-9956-150f430c51d9
Sliceinn Cedar : Your own room in a bungalow @ hsr,Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 shared bathroom,Wifi - Dryer - Pets allowed - Kitchen,Rs.799,4.78,9,https://www.airbnb.co.in/rooms/41198233?previous_page_section_name=1000&federated_search_id=43d041e5-dfb9-4a12-9956-150f430c51d9
Studio Room Near Kempegowda International Airport,Entire flat in Chikkajala,3 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Self check-in - Air conditioning - Kitchen,"Rs.2,071",4.60,15,https://www.airbnb.co.in/rooms/43763117?previous_page_section_name=1000&federated_search_id=43d041e5-dfb9-4a12-9956-150f430c51d9
Blissful Home..NK,Private room in Bangalore,2 guests - 1 bedroom - 2 beds - 1 private bathroom,Wifi - Washing machine - Lift - Self check-in,Rs.899,4.80,56,https://www.airbnb.co.in/rooms/24570637?previous_page_section_name=1000&federated_search_id=43d041e5-dfb9-4a12-9956-150f430c51d9
Radhika's Rustic Mané - a cosy home away from city,Entire guest house in Bengaluru,4 guests - 1 bedroom - 2 beds - 1 bathroom,Wifi - Washing machine - Self check-in - Dryer,Rs.850,4.85,41,https://www.airbnb.co.in/rooms/36674361?previous_page_section_name=1000&federated_search_id=43d041e5-dfb9-4a12-9956-150f430c51d9
Spacious Private Cottage near Nimhans Hospital.,Entire cottage in Bengaluru,3 guests - Studio - 2 beds - 1.5 bathrooms,Wifi - Hot tub - Kitchen,"Rs.1,829",4.0,3,https://www.airbnb.co.in/rooms/45530015?previous_page_section_name=1000&federated_search_id=43d041e5-dfb9-4a12-9956-150f430c51d9
"Modern, Artistic Studio Space",Entire house in Bengaluru,1 guest - Studio - 1 bed - 1 bathroom,Wifi,"Rs.1,049",5.0,6,https://www.airbnb.co.in/rooms/39538664?previous_page_section_name=1000&federated_search_id=43d041e5-dfb9-4a12-9956-150f430c51d9
1 Bed apartment-Can't get central than this,Entire serviced apartment in Bengaluru,2 guests - 1 bedroom - 1 bed - 1.5 bathrooms,Wifi - Air conditioning - Kitchen,"Rs.1,600",4.66,30,https://www.airbnb.co.in/rooms/29497713?previous_page_section_name=1000&federated_search_id=43d041e5-dfb9-4a12-9956-150f430c51d9
Bose Compound Cottage,Entire cottage in Bengaluru,2 guests - 1 bedroom - 1 bed - 1.5 bathrooms,Wifi - Washing machine - Kitchen - Free parking,"Rs.1,600",4.81,17,https://www.airbnb.co.in/rooms/20767422?previous_page_section_name=1000&federated_search_id=43d041e5-dfb9-4a12-9956-150f430c51d9
"Single room-Wifi-Balcony-near BTM Layout,Bangalore",Entire apartment in Bengaluru,3 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Kitchen - Free parking - Washing machine,Rs.999,4.67,6,https://www.airbnb.co.in/rooms/41634440?previous_page_section_name=1000&federated_search_id=d3c42b17-d57b-499e-8e05-4d3d3826c0e4
Locul.Uptown - Sanitized and clean Private Room,Room in aparthotel in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Wifi - Kitchen - Breakfast - Lift,Rs.899,4.33,3,https://www.airbnb.co.in/rooms/24175533?previous_page_section_name=1000&federated_search_id=d3c42b17-d57b-499e-8e05-4d3d3826c0e4
Blissful Home..NK,Private room in Bangalore,2 guests - 1 bedroom - 2 beds - 1 private bathroom,Wifi - Air conditioning - Kitchen - Lift,Rs.899,4.80,56,https://www.airbnb.co.in/rooms/24570637?previous_page_section_name=1000&federated_search_id=d3c42b17-d57b-499e-8e05-4d3d3826c0e4
⚡COUPLE FRIENDLY LITTLE JAPAN,Entire flat in Bengaluru,2 guests - 1 bedroom - 2 beds - 1 bathroom,Wifi - Gym - Breakfast - Lift,Rs.999,4.38,48,https://www.airbnb.co.in/rooms/31918552?previous_page_section_name=1000&federated_search_id=d3c42b17-d57b-499e-8e05-4d3d3826c0e4
Grandma's Place! ★ Garden View ★ Free Parking ★,Private room in Bengaluru,3 guests - 1 bedroom - 2 beds - 1 private bathroom,Kitchen - Free parking - Pets allowed - Hot tub,Rs.799,4.48,52,https://www.airbnb.co.in/rooms/22053980?previous_page_section_name=1000&federated_search_id=d3c42b17-d57b-499e-8e05-4d3d3826c0e4
PrivateStudio/AC-WIFI-Private Kitchen Nr. Manyata!,Entire flat in Bengaluru,4 guests - 1 bedroom - 2 beds - 1.5 bathrooms,Wifi - Air conditioning - Kitchen - Free parking,"Rs.1,159",5.0,5,https://www.airbnb.co.in/rooms/43737363?previous_page_section_name=1000&federated_search_id=d3c42b17-d57b-499e-8e05-4d3d3826c0e4
Studio near ManyataTech and Airport with Kitchen,Entire house in Bengaluru,2 guests - Studio - 1 bed - 1 bathroom,Wifi - Kitchen,Rs.740,4.72,29,https://www.airbnb.co.in/rooms/24028726?previous_page_section_name=1000&federated_search_id=d3c42b17-d57b-499e-8e05-4d3d3826c0e4
Standard AC room in the heart of Indiranagar,Hotel room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Air conditioning - Kitchen - Free parking,"Rs.1,500",4.85,27,https://www.airbnb.co.in/rooms/30943696?previous_page_section_name=1000&federated_search_id=d3c42b17-d57b-499e-8e05-4d3d3826c0e4
Studio Apartment,Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Kitchen - Lift - Self check-in,"Rs.1,000",4.55,42,https://www.airbnb.co.in/rooms/6468307?previous_page_section_name=1000&federated_search_id=d3c42b17-d57b-499e-8e05-4d3d3826c0e4
Cozy Private Room - Private Room in a villa,Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Wifi - Kitchen - Free parking,Rs.900,5.0,9,https://www.airbnb.co.in/rooms/37315451?previous_page_section_name=1000&federated_search_id=d3c42b17-d57b-499e-8e05-4d3d3826c0e4
"💕Easy Breezy❤
💯 Pvt 2 Bhk Cpl Friendly
Full Flat",Entire flat in Bengaluru,4 guests - 2 bedrooms - 2 beds - 2.5 bathrooms,Wifi - Kitchen - Free parking - Pets allowed,"Rs.1,100",4.67,6,https://www.airbnb.co.in/rooms/44544877?previous_page_section_name=1000&federated_search_id=d3c42b17-d57b-499e-8e05-4d3d3826c0e4
Spacious Private Cottage near Nimhans Hospital.,Entire cottage in Bengaluru,3 guests - Studio - 2 beds - 1.5 bathrooms,Wifi - Kitchen - Hot tub,"Rs.1,829",4.0,3,https://www.airbnb.co.in/rooms/45530015?previous_page_section_name=1000&federated_search_id=d3c42b17-d57b-499e-8e05-4d3d3826c0e4
The Nook at Bose Compound,Entire guest house in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Self check-in - Kitchen - Free parking,"Rs.1,200",4.71,42,https://www.airbnb.co.in/rooms/22335455?previous_page_section_name=1000&federated_search_id=fef647d9-f58e-4178-846c-22c8b8c1b616
Private 1 BHK Pent house to Chill relax & enjoy,Entire flat in Bengaluru,12 guests - 1 bedroom - 2 beds - 1 bathroom,Wifi - Washing machine - Lift - Air conditioning,"Rs.2,471",4.77,73,https://www.airbnb.co.in/rooms/32159286?previous_page_section_name=1000&federated_search_id=fef647d9-f58e-4178-846c-22c8b8c1b616
1 Bed apartment-Can't get central than this,Entire serviced apartment in Bengaluru,2 guests - 1 bedroom - 1 bed - 1.5 bathrooms,Wifi - Air conditioning - Kitchen,"Rs.1,600",4.66,30,https://www.airbnb.co.in/rooms/29497713?previous_page_section_name=1000&federated_search_id=fef647d9-f58e-4178-846c-22c8b8c1b616
Quarantine friendly  in charming Koramangala,Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Washing machine - Lift - Self check-in,"Rs.1,200",4.80,5,https://www.airbnb.co.in/rooms/24705719?previous_page_section_name=1000&federated_search_id=fef647d9-f58e-4178-846c-22c8b8c1b616
Bose Compound Cottage,Entire cottage in Bengaluru,2 guests - 1 bedroom - 1 bed - 1.5 bathrooms,Wifi - Washing machine - Kitchen - Free parking,"Rs.1,600",4.81,17,https://www.airbnb.co.in/rooms/20767422?previous_page_section_name=1000&federated_search_id=fef647d9-f58e-4178-846c-22c8b8c1b616
Studio Room walk-able,Hotel room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Lift - Breakfast - Air conditioning,"Rs.1,376",4.33,3,https://www.airbnb.co.in/rooms/24883294?previous_page_section_name=1000&federated_search_id=fef647d9-f58e-4178-846c-22c8b8c1b616
"Managed residence By Aura, Mysore road.",Entire serviced apartment in Bengaluru,2 guests - 1 bedroom - 0 beds - 1 bathroom,Wifi - Lift - Air conditioning - Gym,"Rs.1,500",5.0,4,https://www.airbnb.co.in/rooms/39238990?previous_page_section_name=1000&federated_search_id=fef647d9-f58e-4178-846c-22c8b8c1b616
The Jasper Suite - A Self-Serviced Residence,Entire apartment in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Washing machine - Lift - Self check-in,"Rs.2,499",5.0,14,https://www.airbnb.co.in/rooms/40653355?previous_page_section_name=1000&federated_search_id=fef647d9-f58e-4178-846c-22c8b8c1b616
Urban Kuteer Premium - Luxury Suite in South BLR,Entire guest suite in Bengaluru,3 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Air conditioning - Hot tub - Free parking,"Rs.1,799",5.0,9,https://www.airbnb.co.in/rooms/45979140?previous_page_section_name=1000&federated_search_id=fef647d9-f58e-4178-846c-22c8b8c1b616
Clover - Flapjack,Entire flat in Bengaluru,2 guests - Studio - 1 bed - 1 bathroom,Wifi - Self check-in - Air conditioning - Kitchen,"Rs.1,275",4.55,67,https://www.airbnb.co.in/rooms/10082854?previous_page_section_name=1000&federated_search_id=fef647d9-f58e-4178-846c-22c8b8c1b616
Cozy home in a dynamic locality,Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Washing machine - Lift - Self check-in - Kitchen,Rs.750,5.0,26,https://www.airbnb.co.in/rooms/19335462?previous_page_section_name=1000&federated_search_id=fef647d9-f58e-4178-846c-22c8b8c1b616
Comfort Living close to IIM Bengaluru.,"Private room in Arekere, Bengaluru,",2 guests - 1 bedroom - 1 bed - 1 private bathroom,Wifi - Washing machine - Kitchen,Rs.740,4.43,14,https://www.airbnb.co.in/rooms/20398247?previous_page_section_name=1000&federated_search_id=fef647d9-f58e-4178-846c-22c8b8c1b616
Habitat 04,Hotel room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi,"Rs.1,300",4.82,11,https://www.airbnb.co.in/rooms/31464752?previous_page_section_name=1000&federated_search_id=41bfd3b6-22cc-42df-b930-bc661d17c5cf
Grandma's Place! ★ Garden View ★ Free Parking ★,Private room in Bengaluru,3 guests - 1 bedroom - 2 beds - 1 private bathroom,Kitchen - Free parking,Rs.799,4.48,52,https://www.airbnb.co.in/rooms/22053980?previous_page_section_name=1000&federated_search_id=41bfd3b6-22cc-42df-b930-bc661d17c5cf
Boutique Room 11 at Meraki Suites - Indiranagar,Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Wifi,"Rs.2,500",4.71,17,https://www.airbnb.co.in/rooms/41060867?previous_page_section_name=1000&federated_search_id=41bfd3b6-22cc-42df-b930-bc661d17c5cf
Cosy peaceful single room b/w city and airport,Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Wifi - Self check-in - Free parking,Rs.840,5.0,3,https://www.airbnb.co.in/rooms/17162287?previous_page_section_name=1000&federated_search_id=41bfd3b6-22cc-42df-b930-bc661d17c5cf
A Studio Room on 3rd Floor (No Lift) with kitchen,Entire house in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Kitchen - Wifi - Self check-in - Free parking,Rs.800,4.90,21,https://www.airbnb.co.in/rooms/21537563?previous_page_section_name=1000&federated_search_id=41bfd3b6-22cc-42df-b930-bc661d17c5cf
2bhk Electronic City ★ 50 inch TV ★ Beautiful View,Entire serviced apartment in Bengaluru,4 guests - 2 bedrooms - 2 beds - 1 bathroom,Kitchen - Wifi - Free parking,"Rs.1,382",4.81,37,https://www.airbnb.co.in/rooms/36285578?previous_page_section_name=1000&federated_search_id=41bfd3b6-22cc-42df-b930-bc661d17c5cf
Entire cozy apartment close to everything,Entire flat in Bengaluru,3 guests - 2 bedrooms - 2 beds - 2 bathrooms,Kitchen - Wifi - Self check-in,"Rs.2,057",4.88,49,https://www.airbnb.co.in/rooms/22180329?previous_page_section_name=1000&federated_search_id=41bfd3b6-22cc-42df-b930-bc661d17c5cf
The Emerald Suite A Serviced Residence Koramangala,Entire apartment in Bengaluru,4 guests - 2 bedrooms - 2 beds - 2 bathrooms,Kitchen - Wifi - Self check-in - Free parking,"Rs.3,499",4.82,34,https://www.airbnb.co.in/rooms/32543502?previous_page_section_name=1000&federated_search_id=41bfd3b6-22cc-42df-b930-bc661d17c5cf
Entire 1 BHK Couple Friendly 2.3KM from Forum mall,Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Kitchen - Wifi - Self check-in,"Rs.1,204",4.88,8,https://www.airbnb.co.in/rooms/34164069?previous_page_section_name=1000&federated_search_id=41bfd3b6-22cc-42df-b930-bc661d17c5cf
Chaithanya Nilaya,Entire apartment in Bengaluru,2 guests - 2 bedrooms - 2 beds - 2 bathrooms,Kitchen - Wifi - Free parking,"Rs.1,250",4.93,27,https://www.airbnb.co.in/rooms/29793542?previous_page_section_name=1000&federated_search_id=41bfd3b6-22cc-42df-b930-bc661d17c5cf
Blissful Home..NK,Private room in Bangalore,2 guests - 1 bedroom - 2 beds - 1 private bathroom,Wifi - Air conditioning - Kitchen - Lift,Rs.899,4.80,56,https://www.airbnb.co.in/rooms/24570637?previous_page_section_name=1000&federated_search_id=213a5690-377c-4725-a99a-76d8a9ea77e8
